company_id,revenue_cagr_3yr,revenue_flag_3yr,pat_cagr_3yr,pat_flag_3yr,eps_cagr_3yr,eps_flag_3yr,revenue_cagr_5yr,revenue_flag_5yr,pat_cagr_5yr,pat_flag_5yr,eps_cagr_5yr,eps_flag_5yr,revenue_cagr_10yr,revenue_flag_10yr,pat_cagr_10yr,pat_flag_10yr,eps_cagr_10yr,eps_flag_10yr
ABB,7.28,SUCCESS,17.16,SUCCESS,17.18,SUCCESS,8.19,SUCCESS,16.73,SUCCESS,16.74,SUCCESS,10.24,SUCCESS,18.82,SUCCESS,18.8,SUCCESS
ADANIENSOL,25.21,SUCCESS,-21.89,SUCCESS,-18.29,SUCCESS,14.12,SUCCESS,-3.56,SUCCESS,-3.04,SUCCESS,67.0,SUCCESS,,TURNAROUND,,ZERO_BASE
ADANIENT,13.8,SUCCESS,97.67,SUCCESS,91.29,SUCCESS,18.71,SUCCESS,42.38,SUCCESS,37.42,SUCCESS,4.73,SUCCESS,10.23,SUCCESS,10.53,SUCCESS
ADANIGREEN,28.07,SUCCESS,57.98,SUCCESS,44.22,SUCCESS,33.43,SUCCESS,,TURNAROUND,,ZERO_BASE,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
ADANIPORTS,2.12,SUCCESS,6.33,SUCCESS,5.8,SUCCESS,6.41,SUCCESS,12.57,SUCCESS,12.47,SUCCESS,9.13,SUCCESS,9.92,SUCCESS,9.0,SUCCESS
ADANIPOWER,25.4,SUCCESS,37.2,SUCCESS,36.41,SUCCESS,15.6,SUCCESS,,TURNAROUND,,TURNAROUND,11.33,SUCCESS,,TURNAROUND,,TURNAROUND
AMBUJACEM,4.28,SUCCESS,1.42,SUCCESS,-2.44,SUCCESS,3.92,SUCCESS,6.82,SUCCESS,3.4,SUCCESS,12.68,SUCCESS,10.04,SUCCESS,2.66,SUCCESS
APOLLOHOSP,11.76,SUCCESS,3.37,SUCCESS,3.95,SUCCESS,12.72,SUCCESS,23.16,SUCCESS,19.97,SUCCESS,14.84,SUCCESS,13.83,SUCCESS,13.07,SUCCESS
ASIANPAINT,6.17,SUCCESS,14.5,SUCCESS,14.47,SUCCESS,11.5,SUCCESS,10.79,SUCCESS,11.38,SUCCESS,9.85,SUCCESS,12.49,SUCCESS,12.33,SUCCESS
ATGL,16.68,SUCCESS,9.48,SUCCESS,6.27,SUCCESS,20.81,SUCCESS,8.91,SUCCESS,8.45,SUCCESS,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
BAJAJ-AUTO,13.84,SUCCESS,6.13,SUCCESS,7.28,SUCCESS,10.32,SUCCESS,7.18,SUCCESS,7.88,SUCCESS,8.52,SUCCESS,9.31,SUCCESS,9.62,SUCCESS
AXISBANK,21.44,SUCCESS,26.53,SUCCESS,26.49,SUCCESS,14.01,SUCCESS,74.58,SUCCESS,69.92,SUCCESS,13.02,SUCCESS,13.62,SUCCESS,10.61,SUCCESS
BAJAJFINSV,22.67,SUCCESS,25.72,SUCCESS,22.26,SUCCESS,18.36,SUCCESS,22.48,SUCCESS,20.34,SUCCESS,27.26,SUCCESS,21.23,SUCCESS,17.03,SUCCESS
BAJAJHLDNG,52.99,SUCCESS,21.97,SUCCESS,22.31,SUCCESS,31.84,SUCCESS,19.44,SUCCESS,19.88,SUCCESS,12.71,SUCCESS,13.95,SUCCESS,13.85,SUCCESS
BAJFINANCE,25.32,SUCCESS,29.86,SUCCESS,28.82,SUCCESS,18.75,SUCCESS,23.93,SUCCESS,23.31,SUCCESS,27.72,SUCCESS,32.86,SUCCESS,29.99,SUCCESS
BANKBARODA,19.15,SUCCESS,36.43,SUCCESS,37.51,SUCCESS,9.49,SUCCESS,83.02,SUCCESS,81.14,SUCCESS,10.7,SUCCESS,17.69,SUCCESS,8.04,SUCCESS
BHARTIARTL,10.08,SUCCESS,18.49,SUCCESS,46.48,SUCCESS,12.17,SUCCESS,,TURNAROUND,,TURNAROUND,4.93,SUCCESS,10.59,SUCCESS,10.65,SUCCESS
BEL,11.97,SUCCESS,23.68,SUCCESS,25.99,SUCCESS,10.72,SUCCESS,20.0,SUCCESS,14.87,SUCCESS,11.77,SUCCESS,14.26,SUCCESS,11.61,SUCCESS
BHEL,6.79,SUCCESS,0.0,SUCCESS,0.0,SUCCESS,3.78,SUCCESS,,TURNAROUND,,TURNAROUND,-1.91,SUCCESS,-11.14,SUCCESS,-12.94,SUCCESS
BOSCHLTD,13.33,SUCCESS,19.64,SUCCESS,19.63,SUCCESS,11.75,SUCCESS,26.24,SUCCESS,26.3,SUCCESS,3.56,SUCCESS,4.53,SUCCESS,5.2,SUCCESS
BPCL,8.72,SUCCESS,5.54,SUCCESS,5.83,SUCCESS,9.38,SUCCESS,30.23,SUCCESS,35.52,SUCCESS,6.27,SUCCESS,10.45,SUCCESS,11.27,SUCCESS
BRITANNIA,6.85,SUCCESS,11.98,SUCCESS,12.21,SUCCESS,8.25,SUCCESS,8.84,SUCCESS,8.94,SUCCESS,8.18,SUCCESS,11.94,SUCCESS,11.87,SUCCESS
CANBK,19.13,SUCCESS,39.09,SUCCESS,37.0,SUCCESS,19.13,SUCCESS,,TURNAROUND,,TURNAROUND,10.54,SUCCESS,18.91,SUCCESS,5.05,SUCCESS
CHOLAFIN,30.4,SUCCESS,21.38,SUCCESS,20.95,SUCCESS,20.9,SUCCESS,29.59,SUCCESS,28.75,SUCCESS,19.74,SUCCESS,24.12,SUCCESS,22.59,SUCCESS
CIPLA,7.43,SUCCESS,25.1,SUCCESS,25.99,SUCCESS,9.51,SUCCESS,27.16,SUCCESS,26.69,SUCCESS,9.05,SUCCESS,15.03,SUCCESS,15.25,SUCCESS
COALINDIA,8.55,SUCCESS,25.5,SUCCESS,25.99,SUCCESS,7.87,SUCCESS,15.52,SUCCESS,15.71,SUCCESS,6.59,SUCCESS,9.61,SUCCESS,9.79,SUCCESS
DABUR,4.56,SUCCESS,0.34,SUCCESS,0.0,SUCCESS,7.46,SUCCESS,3.98,SUCCESS,4.56,SUCCESS,4.79,SUCCESS,5.12,SUCCESS,5.24,SUCCESS
DIVISLAB,-1.3,SUCCESS,-14.72,SUCCESS,-14.91,SUCCESS,9.81,SUCCESS,5.92,SUCCESS,5.82,SUCCESS,10.71,SUCCESS,7.98,SUCCESS,7.99,SUCCESS
DLF,6.99,SUCCESS,38.72,SUCCESS,38.67,SUCCESS,2.85,SUCCESS,,TURNAROUND,,TURNAROUND,-0.88,SUCCESS,22.96,SUCCESS,18.22,SUCCESS
DMART,22.69,SUCCESS,22.16,SUCCESS,22.23,SUCCESS,18.13,SUCCESS,15.89,SUCCESS,16.0,SUCCESS,24.41,SUCCESS,29.07,SUCCESS,26.51,SUCCESS
DRREDDY,13.17,SUCCESS,35.66,SUCCESS,35.02,SUCCESS,12.26,SUCCESS,21.88,SUCCESS,21.67,SUCCESS,7.59,SUCCESS,8.84,SUCCESS,9.01,SUCCESS
EICHERMOT,18.4,SUCCESS,36.53,SUCCESS,36.75,SUCCESS,13.3,SUCCESS,18.49,SUCCESS,18.42,SUCCESS,6.94,SUCCESS,19.78,SUCCESS,21.1,SUCCESS
GAIL,13.62,SUCCESS,-2.11,SUCCESS,0.0,SUCCESS,13.41,SUCCESS,3.94,SUCCESS,5.15,SUCCESS,8.43,SUCCESS,13.83,SUCCESS,13.67,SUCCESS
GODREJCP,4.85,SUCCESS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,7.38,SUCCESS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,5.52,SUCCESS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GRASIM,12.73,SUCCESS,-8.12,SUCCESS,-15.49,SUCCESS,14.97,SUCCESS,5.54,SUCCESS,0.61,SUCCESS,15.76,SUCCESS,12.91,SUCCESS,6.12,SUCCESS
HAL,8.16,SUCCESS,18.54,SUCCESS,18.67,SUCCESS,7.76,SUCCESS,24.41,SUCCESS,24.77,SUCCESS,7.07,SUCCESS,13.5,SUCCESS,17.65,SUCCESS
HAVELLS,14.05,SUCCESS,5.39,SUCCESS,5.01,SUCCESS,16.98,SUCCESS,13.75,SUCCESS,12.89,SUCCESS,9.34,SUCCESS,13.78,SUCCESS,13.87,SUCCESS
HCLTECH,10.42,SUCCESS,8.11,SUCCESS,8.01,SUCCESS,10.29,SUCCESS,9.09,SUCCESS,8.97,SUCCESS,12.13,SUCCESS,8.81,SUCCESS,9.25,SUCCESS
HDFCBANK,34.27,SUCCESS,23.67,SUCCESS,9.66,SUCCESS,21.91,SUCCESS,21.46,SUCCESS,12.72,SUCCESS,20.57,SUCCESS,21.03,SUCCESS,15.79,SUCCESS
HDFCLIFE,14.5,SUCCESS,9.6,SUCCESS,10.06,SUCCESS,27.96,SUCCESS,6.14,SUCCESS,5.92,SUCCESS,13.99,SUCCESS,8.31,SUCCESS,7.18,SUCCESS
HEROMOTOCO,10.71,SUCCESS,21.07,SUCCESS,21.29,SUCCESS,6.51,SUCCESS,2.47,SUCCESS,2.61,SUCCESS,3.83,SUCCESS,5.75,SUCCESS,5.78,SUCCESS
HINDALCO,4.72,SUCCESS,-3.11,SUCCESS,-2.81,SUCCESS,13.65,SUCCESS,27.09,SUCCESS,26.93,SUCCESS,7.95,SUCCESS,47.34,SUCCESS,30.2,SUCCESS
HINDUNILVR,6.11,SUCCESS,6.55,SUCCESS,6.58,SUCCESS,9.51,SUCCESS,9.75,SUCCESS,8.21,SUCCESS,6.96,SUCCESS,9.41,SUCCESS,8.69,SUCCESS
ICICIBANK,23.69,SUCCESS,25.47,SUCCESS,24.81,SUCCESS,16.31,SUCCESS,36.1,SUCCESS,36.08,SUCCESS,12.63,SUCCESS,15.01,SUCCESS,13.93,SUCCESS
ICICIGI,13.29,SUCCESS,25.59,SUCCESS,25.18,SUCCESS,15.13,SUCCESS,16.09,SUCCESS,14.42,SUCCESS,18.59,SUCCESS,15.72,SUCCESS,14.65,SUCCESS
ICICIPRULI,6.86,SUCCESS,8.67,SUCCESS,11.87,SUCCESS,29.84,SUCCESS,-1.81,SUCCESS,0.0,SUCCESS,8.45,SUCCESS,-5.08,SUCCESS,-4.42,SUCCESS
INDUSINDBK,16.71,SUCCESS,20.77,SUCCESS,20.12,SUCCESS,11.23,SUCCESS,12.95,SUCCESS,10.2,SUCCESS,17.59,SUCCESS,16.3,SUCCESS,11.83,SUCCESS
INFY,9.56,SUCCESS,7.73,SUCCESS,8.13,SUCCESS,12.0,SUCCESS,10.72,SUCCESS,11.43,SUCCESS,11.61,SUCCESS,8.39,SUCCESS,9.51,SUCCESS
